site,timestamp,util,dmo,resp
local,93,0.634229609317,0.282344738241,0.448014498183
local,94,0.789059100594,0.102692103149,0.00248545013984
local,95,0.47809926333,0.2208492176,0.463646000683
local,96,0.545081724863,0.13228910906,0.0676841064137
local,97,0.578657439425,0.123932553793,0.308492891321
local,98,0.297634567386,0.0343919146137,0.345264596375
local,99,0.469567548447,0.0128916518415,0.414463660707
local,100,0.309399045881,0.0541711550793,0.395873424719
local,101,0.127030128967,0.0349918540091,0.172483526738
local,102,0.341086290117,0.0472428604904,0.129487693274
local,103,0.249594127876,0.185417445593,0.415691680445
local,104,0.354233807088,0.0141392604928,0.387992208538
local,105,0.29206608476,0.153737079974,0.0961045273443
local,106,0.506118532612,0.0448384199817,0.986057592617
local,107,0.457733081509,0.022471900694,0.329646396182
local,108,0.300672905692,0.0913110771942,0.438714667757
local,109,0.789291923835,0.181690563588,0.378722396457
local,110,0.0163277113494,0.0820972666444,0.0869625841816
local,111,0.450241050092,0.157185175375,0.0219769839797
local,112,0.471831589175,0.237572865211,0.27952861192
local,113,0.197611114068,0.136459179593,0.0301088001068
local,114,0.527412131824,0.110679082302,0.0446873664916
local,115,0.411936904622,0.0425686544342,0.551169392056
local,116,0.570314077782,0.144575403576,0.216981528278
local,117,0.501171637404,0.167977994888,0.318519422202
local,118,0.162590806127,0.119861241415,0.444869498602
local,119,0.417095482845,0.142252502087,1.01372554651
local,120,0.251676410352,0.323051667938,0.259513999318
local,121,0.338876083068,0.0340360025157,0.126567852433
local,122,0.592822476013,0.136980294888,0.91785683952
local,123,0.392322740089,0.0584846786613,0.725493132332
local,124,0.330319001853,0.0847451654335,0.197301030768
local,125,0.301657306437,0.155418586414,0.63187925038
local,126,0.237328807029,0.0720071293639,0.236437158047
local,127,0.670795477442,0.157679885943,0.0877810613665
local,128,0.354826028836,0.113006863828,0.871715600946
local,129,0.455933002878,0.228519860536,0.751605916288
local,130,0.680833113028,0.00240856333388,0.0204346409291
local,131,0.243122472259,0.140609128424,0.863647637922
local,132,0.511378649916,0.0458886572421,0.491267632844
local,133,0.766642807109,0.0575414193989,0.677391705483
local,134,0.174486866739,0.0386152578155,0.410696494491
local,135,0.0356165359552,0.103954582076,0.484466547223
local,136,0.312264089937,0.113023968949,0.384070686194
local,137,0.376386571874,0.270547796323,0.203464295962
local,138,0.59085323899,0.0142981003454,0.590737705455
local,139,0.11471747813,0.0358573201581,0.695584389062
remote,0,0.544803555747,0.465415663726,0.830748501818
remote,1,0.452307066783,0.608726729209,0.710182946194
